Data: time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
25835.272756805,31.78695935,-99.0962912,32457.78,1.13,9.2,0x32a
25835.280296528,31.9561651,-99.35061143,15364.91,0.22,17.4,0xa6e
25835.280461237,31.89570133,-99.26519405,14724.23,0.13,16.2,0xb2e
25835.374867159,33.51492146,-101.62877751,7523.21,0.93,-10.0,0x2ca
25835.400487553,31.84468867,-99.28372001,15578.6,0.03,11.7,0xb2a
25835.401289621,31.81404978,-99.22596979,10164.34,0.5,11.8,0xa2e
25835.402016618,31.8591646,-99.30162731,9629.79,0.5,16.1,0xa6c
25835.402135298,31.85534895,-99.30163734,12849.6,0.48,12.9,0xb2a
25835.402892505,33.89369576,-102.11385588,10645.33,0.54,-6.8,0xd0a
25835.426837472,31.8295752,-99.2427046,10882.49,1.33,17.1,0x32a
25835.441821163,31.8467375,-99.26631084,18675.81,0.62,13.1,0x32a
25835.444479418,31.92333463,-99.36442998,14853.7,1.53,21.2,0xb2a
25835.460344209,31.86956453,-99.28587259,9898.1,0.29,13.1,0x32a
25835.469286237,31.83683821,-99.24108369,14033.59,0.34,16.0,0xb2e
25835.471075869,31.84026588,-99.24891546,20682.3,0.54,18.2,0xb2a
25835.473272391,31.84257929,-99.24951019,13795.34,0.28,17.0,0xb0e
25835.488524043,31.85025974,-99.3144055,9488.18,0.58,10.6,0xa26
25835.931017289,31.29516765,-100.31606035,15518.0,0.66,14.9,0xb2e
25835.935297837,32.35766554,-98.85288534,10144.94,1.27,10.5,0x32a
25835.937185278,32.27455173,-98.70400556,16030.53,0.33,13.3,0xb2a
25835.955805968,32.49255042,-99.10438812,16877.22,1.91,10.2,0x32a
25835.972975972,31.23169105,-100.2898098,18191.37,0.09,9.8,0xb2a
25836.059973999,32.24064458,-98.68009499,14199.42,0.01,11.3,0x32a
25836.060565408,32.24843247,-98.69408076,9501.22,0.19,11.0,0x32a
25836.162990357,31.2771125,-100.30988772,13902.35,0.36,11.6,0xb2a
25836.222721749,31.31585915,-100.37126215,11901.56,0.03,9.3,0xb2a
25836.332239246,31.22338481,-100.37200768,18711.97,0.41,12.7,0xb2a
25836.473819041,31.19369918,-100.22612274,15034.15,0.0,9.6,0x32a
25836.490130621,31.23701574,-100.24340951,13297.73,0.24,14.3,0xb2a
25837.495443772,34.08883115,-101.14676374,113108.61,0.5,4.2,0xaa2
25838.374648445,32.54029403,-101.39956115,105047.72,0.02,6.4,0x94a
25839.224386566,31.26312536,-100.19811905,33202.19,1.7,13.9,0xb28
25839.319812486,31.25140268,-100.19965159,11763.05,0.05,14.4,0xb2e
25839.381313159,31.3114556,-100.25957014,16662.02,0.14,15.6,0xa6e
25839.448258024,31.25962344,-100.19746691,12113.36,0.1,14.9,0xb2e
25839.44845485,31.26281841,-100.18994325,14803.24,0.03,14.0,0xa2e
25839.510029857,34.65139958,-101.95771227,194004.39,0.32,10.6,0x6c2
25839.535604012,31.26553555,-100.1768884,14950.75,0.48,13.1,0xb2a
25839.550241432,31.27398617,-100.188627,22201.5,0.66,10.9,0xa2a
25839.551194888,31.27237695,-100.17748593,16946.07,0.26,10.6,0xb2a
25839.721408945,32.99922414,-101.74495812,53210.81,0.35,8.3,0x652
25839.858322517,33.15953013,-98.3888814,18715.08,0.37,11.9,0x32a
25839.979531075,33.19650592,-100.77263004,79321.8,0.36,14.0,0x714
25840.338627403,33.08305155,-97.76474004,682380.9,0.25,19.7,0x8ac
25841.467682388,31.20091742,-100.37362385,10762.44,0.2,15.9,0xb6e
25841.493173555,31.16758616,-100.29168929,15744.45,0.02,17.9,0xa6e
25841.493253518,31.13993198,-100.26561452,19121.04,0.19,11.7,0xb22
25841.514665457,31.19658212,-100.39356003,11432.38,0.22,15.0,0xb6e
25841.522950809,31.20779013,-100.40590496,12535.41,0.44,13.3,0xb2e
25841.585428216,31.02714943,-100.16748313,24933.18,1.29,12.4,0xb2a
25841.599121686,31.14188494,-100.23520951,13297.0,0.05,14.9,0xb6a
25841.647765231,30.90157394,-100.08595603,18089.64,0.0,10.9,0xa2a
25842.245870928,33.62001205,-100.60269899,18823.57,0.77,2.5,0x30e
25842.265981973,33.2322572,-98.77249205,18083.34,0.72,10.9,0x32a
25844.090375622,33.74936576,-101.970688,67873.43,0.01,-3.0,0x2a6
25844.997752101,31.33932657,-100.15094169,14728.86,0.09,8.6,0xa2a
25844.998223449,31.33788698,-100.1523916,19580.6,0.04,7.3,0xa2a
25845.002278101,31.33172691,-100.13136258,18353.56,0.0,7.4,0xa2a
25845.003407064,31.32322898,-100.14636183,20126.29,0.37,11.3,0xb2a
